date, pm25, pm10, o3, so2, co
4/4/2018,26, , , , 
4/5/2018,25, , , , 
4/6/2018,38, , , , 
4/7/2018,35, , , , 
4/8/2018,33, , , , 
4/9/2018,47, , , , 
4/10/2018,44, , , , 
4/11/2018,34, , , , 
4/12/2018,33, , , , 
4/13/2018,31, , , , 
4/14/2018,36, , , , 
4/15/2018,34, , , , 
4/16/2018,33, , , , 
4/17/2018,30, , , , 
4/18/2018,32, , , , 
4/19/2018,36, , , , 
4/20/2018,33, , , , 
4/21/2018,56, , , , 
4/22/2018,42, , , , 
4/23/2018,36, , , , 
4/24/2018,27, , , , 
4/25/2018,34, , , , 
4/26/2018,32, , , , 
4/27/2018,37, , , , 
4/28/2018,40, , , , 
4/30/2018,38, , , , 
5/1/2018,45, , , , 
5/2/2018,48, , , , 
5/3/2018,43, , , , 
5/4/2018,43, , , , 
5/5/2018,37, , , , 
5/6/2018,28, , , , 
5/7/2018,29, , , , 
5/8/2018,46, , , , 
5/9/2018,38, , , , 
5/10/2018,37, , , , 
5/11/2018,37, , , , 
5/12/2018,37, , , , 
5/13/2018,30, , , , 
5/14/2018,26, , , , 
5/15/2018,30, , , ,2
5/16/2018,25, , , ,2
5/17/2018,33, , , ,2
5/18/2018,28, , , ,1
5/19/2018,25, , , ,2
5/20/2018,21, , , ,1
5/21/2018,32, , , , 
5/22/2018,39, , , , 
5/23/2018,36, , , , 
5/24/2018,34, , , ,1
5/25/2018,35, , , ,1
5/26/2018,32, , , ,1
5/27/2018,26, , , ,1
5/28/2018,31, , , ,1
5/29/2018,21, , , ,1
5/30/2018,30, , , ,1
5/31/2018,42, , , ,1
6/1/2018,33, , , ,2
6/2/2018,24, , , ,1
6/3/2018,27, , , ,1
6/4/2018,37, , , ,1
6/5/2018,34, , , ,1
6/6/2018,34, , , ,1
6/7/2018,38, , , ,1
6/8/2018,46, , , ,2
6/9/2018,44, , , ,2
6/10/2018,57, , , ,2
6/11/2018,43, , , ,2
6/12/2018,34, , , ,1
6/13/2018,36, , , ,1
6/14/2018,27, , , ,2
6/15/2018,36, , , ,2
6/16/2018,57, , , ,1
6/17/2018,55, , , ,1
6/18/2018,40, , , ,1
6/19/2018,35, , , ,1
6/20/2018,36, , , , 
8/5/2018, , , , ,1
8/6/2018, , , , ,1
8/7/2018, , , , ,1
8/8/2018, , , , ,1
8/9/2018,65, , , ,1
8/10/2018,68, , , ,1
8/11/2018,66, , , ,1
10/18/2019, , , , ,1
10/19/2019, , , , ,2
10/20/2019, , , , ,1
10/21/2019, , , , ,1
10/22/2019, ,13, , ,1
10/23/2019,22,14, , ,1
10/24/2019,24,17, , ,1
10/25/2019,27,20, , , 
10/26/2019,27,12, , ,1
10/27/2019,21,10, , ,1
10/28/2019,20,14, , ,1
10/29/2019,26,15, , ,1
10/30/2019,24,12, , ,1
10/31/2019,20,13, , ,1
11/1/2019,19,15, , ,1
11/2/2019,23,14, , ,1
11/3/2019,22,11, , ,1
11/4/2019,21,14, , ,1
11/5/2019,22,15, , ,1
11/6/2019,19,22, , ,1
11/7/2019,26,21, , ,1
11/8/2019,26,16, , ,1
11/9/2019,25,17, , ,1
11/10/2019,23,14, , ,1
11/11/2019,21,15, , ,1
11/12/2019,19,19, , ,1
11/13/2019,28,40, , ,1
11/14/2019,33,16, , ,1
11/15/2019,27,13, , ,1
11/16/2019,23,12, , ,2
11/17/2019,21,11, , ,1
11/18/2019,33,19, , ,1
11/19/2019,38,20, , ,1
11/20/2019,36,29, , ,1
11/21/2019,51,25, , ,1
11/22/2019,39,21, , ,2
11/23/2019,33,22, , ,2
11/24/2019,37,13, , ,2
11/25/2019,28,19, , ,1
11/26/2019,38,24, , ,1
11/27/2019,44,27, , ,3
11/28/2019,44,19, , ,4
11/29/2019,46,22, , ,3
11/30/2019,32,18, , ,1
12/1/2019,32,15, , ,2
12/2/2019,30,19, , ,3
12/3/2019,33,17, , ,1
